Date;Ganancias de streaming global;Ganancias de streaming EEUU & Canad‡;Ganancias de streaming Europa, MO y çfrica ;Ganancias de streaming LATAM;Ganancias de streaming Asia Pac’fico
31-03-19;4520992000;2.256.851.000;1.233.379.000;630.472.000;319.602.000
30-06-19;4923116000;2501199000;1319087000;677136000;349494000
30-09-19;5244905000;2621250000;1428040000;741434000;382304000
31-12-19;5467434000;2671908000;1562561000;746392000;418121000
31-03-20;5767691000;2702776000;1723474000;793453000;483660000
30-06-20;6148286000;2839670000;1892537000;785368000;569140000
30-09-20;6435637000;2933445000;2019083000;789384000;634891000
31-12-20;6644442000;2979505000;2137158000;788522000;684609000
31-03-21;7163282000;3170972000;2343674000;836647000;762414000
30-06-21;7341777000;3234643000;2400480000;860882000;799480000
30-09-21;7483467000;3257697000;2432239000;915297000;834002000
31-12-21;7709318000;3308788000;2523426000;964150000;870705000
31-03-22;7867767000;3350424000;2561831000;998948000;916754000
30-06-22;7970141000;3537863000;2457235000;1030234000;907719000
30-09-22;7925589000;3601565000;2375814000;1023945000;889037000
31-12-22;7852053000;3594791000;2350135000;1016846000;856711000
31-03-23;8161503000;3608645000;2517641000;1070192000;933523000
30-06-23;8187301000;3599448000;2562170000;1077435000;919273000
30-09-23;8541668000;3735133000;2693146000;1142811000;948216000
31-12-23;8832825000;3594791000;2783530000;1156023000;962715000
31-03-24;9370440000;4224315000;2958153000;1165008000;1022924000